onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
92.775390625	0.314453125	artefact	n/a	all	all	93.08984375	47501	47662	n/a	n/a	n/a	n/a	n/a	n/a
117.0078125	16.8046875	artefact	n/a	C02	C02	133.8125	59908	68512	n/a	n/a	n/a	n/a	n/a	n/a
118.95703125	0.150390625	artefact	n/a	all	all	119.107421875	60906	60983	n/a	n/a	n/a	n/a	n/a	n/a
216.81640625	0.943359375	artefact	n/a	all	all	217.759765625	111010	111493	n/a	n/a	n/a	n/a	n/a	n/a
355.634765625	0.20703125	artefact	n/a	all	all	355.841796875	182085	182191	n/a	n/a	n/a	n/a	n/a	n/a
413.404296875	2.884765625	artefact	n/a	all	all	416.2890625	211663	213140	n/a	n/a	n/a	n/a	n/a	n/a
520.533203125	15.044921875	artefact	n/a	all	all	535.578125	266513	274216	n/a	n/a	n/a	n/a	n/a	n/a
831.45703125	1.1953125	artefact	n/a	all	all	832.65234375	425706	426318	n/a	n/a	n/a	n/a	n/a	n/a
883.318359375	2.45703125	artefact	n/a	all	all	885.775390625	452259	453517	n/a	n/a	n/a	n/a	n/a	n/a
894.15625	1.80078125	artefact	n/a	all	all	895.95703125	457808	458730	n/a	n/a	n/a	n/a	n/a	n/a
919.69140625	1.03515625	artefact	n/a	all	all	920.7265625	470882	471412	n/a	n/a	n/a	n/a	n/a	n/a
975.03125	1.71484375	artefact	n/a	all	all	976.74609375	499216	500094	n/a	n/a	n/a	n/a	n/a	n/a
980.107421875	0.6015625	artefact	n/a	all	all	980.708984375	501815	502123	n/a	n/a	n/a	n/a	n/a	n/a
1043.1953125	1.13671875	artefact	n/a	all	all	1044.33203125	534116	534698	n/a	n/a	n/a	n/a	n/a	n/a
1113.4453125	1.65234375	artefact	n/a	all	all	1115.09765625	570084	570930	n/a	n/a	n/a	n/a	n/a	n/a
1147.015625	0.255859375	artefact	n/a	all	all	1147.271484375	587272	587403	n/a	n/a	n/a	n/a	n/a	n/a
1173.060546875	0.873046875	artefact	n/a	all	all	1173.93359375	600607	601054	n/a	n/a	n/a	n/a	n/a	n/a
1227.064453125	4.017578125	artefact	n/a	all	all	1231.08203125	628257	630314	n/a	n/a	n/a	n/a	n/a	n/a
1237.060546875	1.279296875	artefact	n/a	all	all	1238.33984375	633375	634030	n/a	n/a	n/a	n/a	n/a	n/a
1278.3515625	2.583984375	artefact	n/a	all	all	1280.935546875	654516	655839	n/a	n/a	n/a	n/a	n/a	n/a
1521.22265625	0.693359375	artefact	n/a	all	all	1521.916015625	778866	779221	n/a	n/a	n/a	n/a	n/a	n/a
1563.751953125	0.21484375	artefact	n/a	all	all	1563.966796875	800641	800751	n/a	n/a	n/a	n/a	n/a	n/a
1649.22265625	1.28125	artefact	n/a	all	all	1650.50390625	844402	845058	n/a	n/a	n/a	n/a	n/a	n/a
2562.345703125	1.529296875	artefact	n/a	all	all	2563.875	1311921	1312704	n/a	n/a	n/a	n/a	n/a	n/a
2628.3125	15.876953125	artefact	n/a	IH58	IH58	2644.189453125	1345696	1353825	n/a	n/a	n/a	n/a	n/a	n/a
2760.767578125	7.310546875	artefact	n/a	IH58	IH58	2768.078125	1413513	1417256	n/a	n/a	n/a	n/a	n/a	n/a
2987.169921875	2.453125	artefact	n/a	all	all	2989.623046875	1529431	1530687	n/a	n/a	n/a	n/a	n/a	n/a
3658.81640625	6.388671875	artefact	n/a	IH58	IH58	3665.205078125	1873314	1876585	n/a	n/a	n/a	n/a	n/a	n/a
4080.138671875	8.05078125	artefact	n/a	IH58	IH58	4088.189453125	2089031	2093153	n/a	n/a	n/a	n/a	n/a	n/a
4495.51953125	51.396484375	artefact	n/a	IH58	IH58	4546.916015625	2301706	2328021	n/a	n/a	n/a	n/a	n/a	n/a
4501.205078125	1.611328125	artefact	n/a	all	all	4502.81640625	2304617	2305442	n/a	n/a	n/a	n/a	n/a	n/a
4585.123046875	3.330078125	artefact	n/a	all	all	4588.453125	2347583	2349288	n/a	n/a	n/a	n/a	n/a	n/a
4601.130859375	0.2734375	artefact	n/a	all	all	4601.404296875	2355779	2355919	n/a	n/a	n/a	n/a	n/a	n/a
4649.470703125	0.197265625	artefact	n/a	all	all	4649.66796875	2380529	2380630	n/a	n/a	n/a	n/a	n/a	n/a
4789.080078125	3.669921875	artefact	n/a	all	all	4792.75	2452009	2453888	n/a	n/a	n/a	n/a	n/a	n/a
4899.76953125	2.583984375	artefact	n/a	all	all	4902.353515625	2508682	2510005	n/a	n/a	n/a	n/a	n/a	n/a
